,reaction,lb,ub
0,HMR_9066,-0.084,1000
1,HMR_9065,-0.0626,1000
2,HMR_9063,-0.584,1000
3,HMR_9067,-0.03,1000
4,HMR_9038,-0.042,1000
5,HMR_9039,-0.105,1000
6,HMR_9040,-0.105,1000
7,HMR_9041,-0.146,1000
8,HMR_9042,-0.03,1000
9,HMR_9043,-0.066,1000
10,HMR_9069,-0.042,1000
11,HMR_9044,-0.095,1000
12,HMR_9045,-0.016,1000
13,HMR_9064,-0.10379,1000
14,HMR_9046,-0.094,1000
15,HMR_9146,-0.004,1000
16,HMR_9361,-0.0072,1000
17,HMR_9378,-0.004,1000
18,HMR_9145,-0.004,1000
19,HMR_9144,-0.004,1000
20,HMR_9143,-0.0004,1000
21,HMR_9159,-0.004,1000
22,HMR_9034,-4.5,1000
23,HMR_7108,0.0,1000
24,HMR_7110,0.0,1000
25,HMR_7112,0.0,1000
26,HMR_7114,0.0,1000
27,HMR_7116,0.0,1000
28,HMR_7118,0.0,1000
29,HMR_7120,0.0,1000
30,HMR_7122,0.0,1000
31,HMR_7124,0.0,1000
32,HMR_7126,0.0,1000
33,HMR_9023,0.0,1000
34,HMR_9024,0.0,1000
35,HMR_9032,0.0,1000
36,HMR_9808,0.0,1000
37,HMR_9809,0.0,1000
38,HMR_9810,0.0,1000
39,HMR_9811,0.0,1000
40,HMR_9812,0.0,1000
41,HMR_9813,0.0,1000
42,HMR_9814,0.0,1000
43,HMR_9815,0.0,1000
44,HMR_9816,0.0,1000
45,HMR_9033,0.0,1000
46,HMR_9035,0.0,1000
47,HMR_9036,0.0,1000
48,HMR_9037,0.0,1000
49,HMR_9047,0.0,1000
50,HMR_9048,0.0,1000
51,HMR_9049,0.0,1000
52,HMR_9050,0.0,1000
53,HMR_9051,0.0,1000
54,HMR_9052,0.0,1000
55,HMR_9053,0.0,1000
56,HMR_9054,0.0,1000
57,HMR_9055,0.0,1000
58,HMR_9056,0.0,1000
59,HMR_9058,0.0,1000
60,HMR_9061,0.0,1000
61,HMR_9062,0.0,1000
62,HMR_9068,0.0,1000
63,HMR_9070,0.0,1000
64,HMR_9071,0.0,1000
65,HMR_9072,0.0,1000
66,HMR_9073,0.0,1000
67,HMR_9074,0.0,1000
68,HMR_9075,0.0,1000
69,HMR_9076,0.0,1000
70,HMR_9077,0.0,1000
71,HMR_9078,0.0,1000
72,HMR_9079,0.0,1000
73,HMR_9080,0.0,1000
74,HMR_9081,0.0,1000
75,HMR_9082,0.0,1000
76,HMR_9083,0.0,1000
77,HMR_9084,0.0,1000
78,HMR_9085,0.0,1000
79,HMR_9086,0.0,1000
80,HMR_9087,0.0,1000
81,HMR_9088,0.0,1000
82,HMR_9089,0.0,1000
83,HMR_9090,0.0,1000
84,HMR_9091,0.0,1000
85,HMR_9092,0.0,1000
86,HMR_9093,0.0,1000
87,HMR_9094,0.0,1000
88,HMR_9095,0.0,1000
89,HMR_9096,0.0,1000
90,HMR_9097,0.0,1000
91,HMR_9098,0.0,1000
92,HMR_9099,0.0,1000
93,HMR_9100,0.0,1000
94,HMR_9101,0.0,1000
95,HMR_9102,0.0,1000
96,HMR_9103,0.0,1000
97,HMR_9104,0.0,1000
98,HMR_9105,0.0,1000
99,HMR_9106,0.0,1000
100,HMR_9107,-1000.0,1000
101,HMR_9108,0.0,1000
102,HMR_9109,0.0,1000
103,HMR_9110,-1000.0,1000
104,HMR_9111,0.0,1000
105,HMR_9113,0.0,1000
106,HMR_9114,0.0,1000
107,HMR_9115,0.0,1000
108,HMR_9116,0.0,1000
109,HMR_9117,0.0,1000
110,HMR_9118,0.0,1000
111,HMR_9119,0.0,1000
112,HMR_9120,0.0,1000
113,HMR_9121,0.0,1000
114,HMR_9122,0.0,1000
115,HMR_9123,0.0,1000
116,HMR_9124,0.0,1000
117,HMR_9125,0.0,1000
118,HMR_9126,0.0,1000
119,HMR_9127,0.0,1000
120,HMR_9128,0.0,1000
121,HMR_9129,0.0,1000
122,HMR_9130,0.0,1000
123,HMR_9131,0.0,1000
124,HMR_9132,0.0,1000
125,HMR_9133,0.0,1000
126,HMR_9134,0.0,1000
127,HMR_9135,0.0,1000
128,HMR_9136,0.0,1000
129,HMR_9137,0.0,1000
130,HMR_9138,0.0,1000
131,HMR_9139,0.0,1000
132,HMR_9140,0.0,1000
133,HMR_9141,0.0,1000
134,HMR_9142,0.0,1000
135,HMR_9147,0.0,1000
136,HMR_9148,0.0,1000
137,HMR_9149,0.0,1000
138,HMR_9150,0.0,1000
139,HMR_9151,0.0,1000
140,HMR_9152,-1000.0,1000
141,HMR_9153,0.0,1000
142,HMR_9154,-1000.0,1000
143,HMR_9155,0.0,1000
144,HMR_9156,0.0,1000
145,HMR_9157,0.0,1000
146,HMR_9158,0.0,1000
147,HMR_9160,0.0,1000
148,HMR_9161,0.0,1000
149,HMR_9162,0.0,1000
150,HMR_9163,0.0,1000
151,HMR_9164,0.0,1000
152,HMR_9165,0.0,1000
153,HMR_9166,0.0,1000
154,HMR_9168,0.0,1000
155,HMR_9169,0.0,1000
156,HMR_9171,0.0,1000
157,HMR_9172,0.0,1000
158,HMR_9201,0.0,1000
159,HMR_9202,0.0,1000
160,HMR_9203,0.0,1000
161,HMR_9204,0.0,1000
162,HMR_9205,0.0,1000
163,HMR_9206,0.0,1000
164,HMR_9207,0.0,1000
165,HMR_9208,0.0,1000
166,HMR_9209,0.0,1000
167,HMR_9210,0.0,1000
168,HMR_9211,0.0,1000
169,HMR_9212,0.0,1000
170,HMR_9213,0.0,1000
171,HMR_9214,0.0,1000
172,HMR_9215,0.0,1000
173,HMR_9216,0.0,1000
174,HMR_9217,0.0,1000
175,HMR_9218,0.0,1000
176,HMR_9219,0.0,1000
177,HMR_9220,0.0,1000
178,HMR_9221,0.0,1000
179,HMR_9222,0.0,1000
180,HMR_9223,0.0,1000
181,HMR_9224,0.0,1000
182,HMR_9225,0.0,1000
183,HMR_9226,0.0,1000
184,HMR_9227,0.0,1000
185,HMR_9228,0.0,1000
186,HMR_9229,0.0,1000
187,HMR_9230,0.0,1000
188,HMR_9231,0.0,1000
189,HMR_9232,0.0,1000
190,HMR_9233,0.0,1000
191,HMR_9234,0.0,1000
192,HMR_9235,0.0,1000
193,HMR_9236,0.0,1000
194,HMR_9237,0.0,1000
195,HMR_9238,0.0,1000
196,HMR_9239,0.0,1000
197,HMR_9240,0.0,1000
198,HMR_9241,0.0,1000
199,HMR_9242,0.0,1000
200,HMR_9243,0.0,1000
201,HMR_9244,0.0,1000
202,HMR_9245,0.0,1000
203,HMR_9246,0.0,1000
204,HMR_9247,0.0,1000
205,HMR_9248,0.0,1000
206,HMR_9249,0.0,1000
207,HMR_9250,0.0,1000
208,HMR_9251,0.0,1000
209,HMR_9252,0.0,1000
210,HMR_9253,0.0,1000
211,HMR_9254,0.0,1000
212,HMR_9255,0.0,1000
213,HMR_9256,0.0,1000
214,HMR_9257,0.0,1000
215,HMR_9258,0.0,1000
216,HMR_9259,0.0,1000
217,HMR_9260,0.0,1000
218,HMR_9261,0.0,1000
219,HMR_9262,0.0,1000
220,HMR_9263,0.0,1000
221,HMR_9264,0.0,1000
222,HMR_9265,0.0,1000
223,HMR_9266,0.0,1000
224,HMR_9267,0.0,1000
225,HMR_9268,0.0,1000
226,HMR_9270,0.0,1000
227,HMR_9271,0.0,1000
228,HMR_9272,0.0,1000
229,HMR_9273,0.0,1000
230,HMR_9275,0.0,1000
231,HMR_9276,0.0,1000
232,HMR_9277,0.0,1000
233,HMR_9278,0.0,1000
234,HMR_9279,0.0,1000
235,HMR_9280,0.0,1000
236,HMR_9281,0.0,1000
237,HMR_9282,0.0,1000
238,HMR_9283,0.0,1000
239,HMR_9284,0.0,1000
240,HMR_9285,0.0,1000
241,HMR_9286,0.0,1000
242,HMR_9287,0.0,1000
243,HMR_9288,0.0,1000
244,HMR_9289,0.0,1000
245,HMR_9290,0.0,1000
246,HMR_9291,0.0,1000
247,HMR_9292,0.0,1000
248,HMR_9293,0.0,1000
249,HMR_9294,0.0,1000
250,HMR_9295,0.0,1000
251,HMR_9296,0.0,1000
252,HMR_9297,0.0,1000
253,HMR_9298,0.0,1000
254,HMR_9299,0.0,1000
255,HMR_9300,0.0,1000
256,HMR_9301,0.0,1000
257,HMR_9302,0.0,1000
258,HMR_9303,0.0,1000
259,HMR_9304,0.0,1000
260,HMR_9305,0.0,1000
261,HMR_9306,0.0,1000
262,HMR_9307,0.0,1000
263,HMR_9308,0.0,1000
264,HMR_9309,0.0,1000
265,HMR_9310,0.0,1000
266,HMR_9311,0.0,1000
267,HMR_9312,0.0,1000
268,HMR_9313,0.0,1000
269,HMR_9314,0.0,1000
270,HMR_9315,0.0,1000
271,HMR_9316,0.0,1000
272,HMR_9317,0.0,1000
273,HMR_9318,0.0,1000
274,HMR_9319,0.0,1000
275,HMR_9320,0.0,1000
276,HMR_9321,0.0,1000
277,HMR_9322,0.0,1000
278,HMR_9323,0.0,1000
279,HMR_9324,0.0,1000
280,HMR_9325,0.0,1000
281,HMR_9326,0.0,1000
282,HMR_9327,0.0,1000
283,HMR_9328,0.0,1000
284,HMR_9329,0.0,1000
285,HMR_9330,0.0,1000
286,HMR_9331,0.0,1000
287,HMR_9332,0.0,1000
288,HMR_9333,0.0,1000
289,HMR_9334,0.0,1000
290,HMR_9335,0.0,1000
291,HMR_9336,0.0,1000
292,HMR_9337,0.0,1000
293,HMR_9338,0.0,1000
294,HMR_9339,0.0,1000
295,HMR_9340,0.0,1000
296,HMR_9341,0.0,1000
297,HMR_9342,0.0,1000
298,HMR_9343,0.0,1000
299,HMR_9344,0.0,1000
300,HMR_9345,0.0,1000
301,HMR_9346,0.0,1000
302,HMR_9347,0.0,1000
303,HMR_9348,0.0,1000
304,HMR_9349,0.0,1000
305,HMR_9350,0.0,1000
306,HMR_9351,0.0,1000
307,HMR_9352,0.0,1000
308,HMR_9353,0.0,1000
309,HMR_9354,0.0,1000
310,HMR_9355,0.0,1000
311,HMR_9356,0.0,1000
312,HMR_9357,0.0,1000
313,HMR_9358,0.0,1000
314,HMR_9359,0.0,1000
315,HMR_9360,0.0,1000
316,HMR_9362,0.0,1000
317,HMR_9363,0.0,1000
318,HMR_9364,0.0,1000
319,HMR_9365,0.0,1000
320,HMR_9366,0.0,1000
321,HMR_9367,0.0,1000
322,HMR_9368,0.0,1000
323,HMR_9369,0.0,1000
324,HMR_9370,0.0,1000
325,HMR_9371,0.0,1000
326,HMR_9372,0.0,1000
327,HMR_9373,0.0,1000
328,HMR_9374,0.0,1000
329,HMR_9375,0.0,1000
330,HMR_9376,0.0,1000
331,HMR_9377,0.0,1000
332,HMR_9379,0.0,1000
333,HMR_9380,0.0,1000
334,HMR_9381,0.0,1000
